weapon,style,passive_name,passive_description,description,trigger,trigger_actions,counter
staff,"aoe, elemental",Safe Casting,Allies are immune to your AoE attacks.,Enables large-scale area attacks without risking allies — the go-to for mages who want to clear crowds safely.,,,
wand,"dps, ranged",Piercing Focus,Your first attack each round gains Bypass.,"Every round opens with a guaranteed shield-piercing attack — best for precise, single-target magical builds.",,,
tome,"control, strategic",Cursed Pages,"Whenever you apply Curse to an enemy, they also take 1 damage.",Stacks Curse for steady damage-on-application — ideal for builds that want to layer multiple ongoing effects.,custom,damage:1 @enemy,
bow,"physical, ranged",Skirmisher,"The first time each round an enemy enters an adjacent space, you may move 1.",Attacks from maximum range and repositions when enemies close in — for builds that need to stay mobile and distant.,custom,move:1,
cudgel,"physical, control",Concussive Blow,"When you deal 3 or more damage in a single attack, apply Stun.",Any hit of 3 or more damage strips an enemy buff or ongoing effect — a strong disruptor for hard-hitting builds.,custom,effect +stun @enemy,
greataxe,"physical, burst",Cleaving Strikes,"If you deal 4 damage to an enemy in a single hit, inflict Weaken 1.",Landing big hits applies Weaken — rewards high-damage builds that want to build offensive pressure.,custom,effect +weaken:1 @enemy,
swordshield,"tank, strategic",Bulwark,"The first time each round you attack an enemy, gain Bolster 1.",Builds Bolster on every successful attack — for characters who want to be aggressive and protected simultaneously.,custom,effect +bolster:1 @self,
greatsword,"mobile, physical",Momentum,"When you attack, deal one extra damage if you've moved this turn.",Moving before attacking unlocks a damage bonus — ideal for mobile frontliners who reposition each round.,custom,damage:1 @enemy,
warhammer,"dps, physical",Armor Breaker,Your melee attacks add Pierce 1.,Every melee attack ignores 1 armor — the best choice for cutting through heavily armored enemies.,,,
daggers,"mobile, burst",Twist the Knife,"Your attacks that deal Bleed, Weaken, or Poison deal one additional stack.","Condition-focused builds deal one extra stack of Bleed, Weaken, or Poison — amplifies every debuff you apply.",,,
rapier,"mobile, control",Riposte,"When an enemy's melee attack deals no damage, immediately attack 1 against them.",Punishes any melee attack that deals no damage with an automatic counter-attack — rewarding against aggressive but ineffective foes.,custom,attack:1 @enemy,
crossbow,"stealth, ranged",Punch-Through,"If a single-target attack does 3+ damage, it also hits the enemy directly behind the target.",Strong single-target hits pass through to the enemy directly behind — for builds that like to line enemies up.,custom,attack:1 @enemy,
whipblade,"ranged, mobile",Hooked Reach,"When you Retaliate, you may move one space.",Fight at reach (2-3 spaces) and reposition when you Retaliate — keeps you at your ideal range constantly.,custom,move:1,
brawling,"mobile, burst",Flurry,Your second and subsequent attacks each turn deal 1 additional damage.,Combo fighters that deal more damage with each additional attack in a turn — reward going wide over going deep.,custom,damage:1 @enemy,
mageblade,"control, elemental",Arcane Cycle,"The first time each round you apply an elemental condition (Burn, Freeze, or Shock) with an attack, restore 1 card from your discard.",The first elemental hit each round restores a card from your discard — a self-sustaining magical melee build for long fights.,custom,effect +restore:1 @self,
holysymbol,"healer, support",Consecration,"At the start of each round of combat, gain Bless.","A symbol of faith that channels healing, protection, and holy retribution — the anchor a party leans on through the longest fights.",custom,effect +bless,
