class,health,role,passive_name,passive_description,skill1,skill2,skill3,skill4,skill5,skill6,description,trigger,trigger_actions,counter
barbarian,8,"burst, dps",Rage,"When you take damage, your next attack this round deals 1 additional damage.",resilient,nature,athletic,acrobatic,intimidating,resourceful,"Charge into melee, hit hard, and hit harder when enemies hit back — built for players who want raw power over finesse.",custom,damage:1 @enemy,
bard,5,"strategic, support",Inspiration,"Whenever you target another ally with an effect, they Cure 1 condition.",persuasive,charming,personable,acrobatic,resourceful,clever,Keep your party's cards flowing and their spirits high; the Bard's value compounds the longer the fight goes on.,custom,effect +cure:1 @ally,
cleric,6,"healer, support",Blessed Touch,"Whenever you target an ally with a buff, heal them 1.",learned,arcana,resilient,wise,persuasive,intimidating,"Heal and buff your allies constantly — the more you support the party, the more powerful everyone becomes.",custom,heal:1 @ally,
druid,6,"healer, elemental",Wild Bond,Your summons have +1 armor.,nature,resourceful,learned,resilient,clever,wise,Place totems to transform the battlefield and apply conditions that grind enemies down over multiple rounds.,,,
knight,8,"tank, strategic",Aegis,Permanent +1 armor.,resilient,intimidating,athletic,martial,learned,persuasive,"Stand in the front and refuse to go down, protecting allies with your body and punishing every attack with Retaliate.",,,
mage,4,"aoe, dps",Arcane Surge,"When you play an Append card standalone (not appended to another attack), deal 1 additional damage.",arcana,learned,clever,charming,wise,persuasive,Combine elemental spells for massive area damage; at its best when layering attacks through the Append mechanic.,custom,damage:1 @enemy,
mercenary,7,"physical, burst",Opportunist,"When you attack a target that has a condition applied to them, deal 1 additional damage.",athletic,sneaky,resilient,resourceful,martial,underworld,Exploit conditions on enemies for bonus damage and force them to fight each other with Coerce.,custom,damage:1 @enemy,
monk,6,"mobile, control",Pressure Points,"If you hit the same enemy twice in a turn, inflict Weaken 1.",wise,acrobatic,athletic,clever,martial,resilient,"Fight unarmed with precision — strike the same enemy twice to weaken them, and return every hit with Retaliate.",custom,effect +weaken:1 @enemy,
ranger,5,"ranged, stealth",Eagle Eye,Gain 1 additional range on ranged attacks.,sneaky,nature,resourceful,clever,acrobatic,resilient,"Fight at extreme range with traps and careful positioning, dictating the terms of engagement from safety.",,,
rogue,5,"stealth, strategic",Vanish,"The first time each round you attack from hidden, Restore 1 card from your discard.",sneaky,acrobatic,clever,resourceful,underworld,charming,"Hide, strike for huge bonus damage, then vanish to do it all again — patience and positioning are everything.",custom,effect +restore:1 @self,
soldier,7,"physical, dps",Discipline,"If an adjacent enemy moves away, inflict 1 damage.",athletic,martial,learned,persuasive,intimidating,resilient,"Direct the flow of battle, setting up flanking attacks and calling in allies for coordinated strikes.",custom,damage:1 @enemy,
swashbuckler,6,"mobile, tank",Flourish,Gain Boost when you make an attack with no allies within 3 spaces.,acrobatic,martial,clever,intimidating,charming,resourceful,"Mark one enemy and throw everything at them, growing more dangerous with each exchange until the duel is decided.",custom,effect +boost @self,
witch,4,"control, support",Hex,Enemies with 2 or more stacks of Curse deal 1 less damage to you.,arcana,nature,clever,intimidating,learned,underworld,Apply Curse from a distance and let stacking debuffs slowly dismantle your enemies while you stay out of reach.,,,
psychic,5,"control, dps",Soul Drain,"When you kill an enemy, regain 2 health.",arcana,learned,wise,charming,persuasive,clever,Control your enemies and deal direct damage,custom,heal:2 @self,
sorcerer,8,"burst, aoe",Blaster,You may make basic attacks at Range 5.,arcana,resilient,intimidating,charming,persuasive,resourceful,Channel your innate magic into massive effects and try not to run out of cards.,,,
summoner,4,"support, control",Sacrificial Lamb,You can grant your basic moves and attacks to your summoned creatures.,arcana,wise,resourceful,persuasive,nature,personable,Summon an army to fight for you.,,,
